Entity_1,Entity_2,Relation,Mode,Evidence_PMID,Evidence_Sents,Confirmation_without_context,Confirmation_with_context
AGE-HSA,apoptosis,pos,direct,12887747,CONCLUSION: AGE-HSA inhibits the proliferation of vascular endothelial cells and induces apoptosis in dose and time dependent manner.,True - AGE-HSA can promote apoptosis.,Statement: AGE-HSA promotes apoptosis. (True - Context confirms that AGE-HSA induces apoptosis.)
ALA treatment,apoptosis of vascular smooth muscle cells,pos,direct,20829507,"ALA treatment strongly induced apoptosis of vascular smooth muscle cells and enhanced the expression and cytoplasmic localization of Nur77, which triggers intrinsic apoptotic events.",True - ALA treatment can promote apoptosis of vascular smooth muscle cells.,Statement: ALA treatment promotes apoptosis of vascular smooth muscle cells. (True - Context indicates that ALA treatment induces apoptosis of vascular smooth muscle cells.)
ALA,apoptosis,neg,direct,20829507,"Furthermore, ALA reduced basal apoptosis of human aortic endothelial cells and accelerated reendothelialization after balloon injury.",False - ALA treatment can promote apoptosis.,Statement: True - The statement matches the context given.
Hydroxycamptothecin,apoptosis,pos,direct,23761079,Hydroxycamptothecin induces apoptosis of human tenon's capsule fibroblasts by activating the PERK signaling pathway.,True - Hydroxycamptothecin can promote apoptosis.,Statement: Hydroxycamptothecin promotes apoptosis. (True - Context suggests that Hydroxycamptothecin induces apoptosis.)
miR-103,apoptosis,pos,direct,35837786,In vitro experiments revealed that miR-103 could inhibit the proliferation and migration of NHDF cells and promote the apoptosis of NHDF cells by targeted regulation of regulator of calcineurin 1  gene expression in a high glucose environment.,Unknown - The role of miR-103 in apoptosis is not well established.,Statement: True - The statement matches the context given.
Exosomal Vimentin,Apoptosis,neg,direct,33925176,Exosomal Vimentin from Adipocyte Progenitors Protects Fibroblasts against Osmotic Stress and Inhibits Apoptosis to Enhance Wound Healing.,Unknown - The effect of Exosomal Vimentin on apoptosis is not well established.,Statement: True - The statement matches the context given.
Matrix metalloproteinase 9,keratinocyte apoptosis,pos,direct,30949883,Matrix metalloproteinase 9 induces keratinocyte apoptosis through FasL/Fas pathway in diabetic wound.,True - Matrix metalloproteinase 9 (MMP9) can promote keratinocyte apoptosis.,Statement: Matrix metalloproteinase 9 promotes keratinocyte apoptosis. (True - Context confirms that Matrix metalloproteinase 9 induces keratinocyte apoptosis.)
MMP9,keratinocyte apoptosis,pos,direct,30949883,"In this study, we aimed to explore whether MMP9 induced keratinocyte apoptosis and investigate the plausible mechanisms.",True - MMP9 can promote keratinocyte apoptosis.,Statement: MMP9 promotes keratinocyte apoptosis. (True - Context suggests that MMP9 could induce keratinocyte apoptosis.)
advanced glycation end products,keratinocyte apoptosis,pos,direct,30949883,Our in vitro study showed that advanced glycation end products  induced keratinocyte apoptosis and enhanced MMP9 level.,True - Advanced glycation end products can promote keratinocyte apoptosis.,Statement: advanced glycation end products promotes keratinocyte apoptosis. (True - Context indicates that advanced glycation end products induce keratinocyte apoptosis.)
MMP9,cell apoptosis,pos,direct,30949883,"Besides, MMP9, both intra-cellular expressions and extra-cellular supplement, promoted cell apoptosis.",True - MMP9 can promote cell apoptosis.,Statement: MMP9 promotes cell apoptosis. (True - Context confirms that MMP9 promotes cell apoptosis.)
Adiponectin,endothelial cell apoptosis,pos,direct,18267956,"Adiponectin did not increase endothelial cell apoptosis, as measured by terminal deoxynucleotidyl transferase biotin-dUTP Nick End Labelling assay.",True - Adiponectin can promote endothelial cell apoptosis.,Statement: Adiponectin promotes endothelial cell apoptosis. (False - Context reveals that Adiponectin does not increase endothelial cell apoptosis.)
Allicin,Apoptosis,pos,direct,31953094,Allicin Inhibits Proliferation and Promotes Apoptosis of Human Epidural Scar Fibroblasts.,True - Allicin can promote apoptosis.,Statement: Allicin promotes Apoptosis. (True - Context suggests that Allicin promotes apoptosis.)
Allicin,cell apoptosis,pos,direct,31953094,"CONCLUSIONS: Allicin can suppress human epidural scar fibroblast migration, induce cell apoptosis, and block cell proliferation at S phase and G2 phase.",True - Allicin can promote cell apoptosis.,Statement: Allicin promotes cell apoptosis. (True - Context confirms that Allicin induces cell apoptosis.)
Oncostatin M,apoptosis,neg,direct,24710357,"Oncostatin M mediates STAT3-dependent intestinal epithelial restitution via increased cell proliferation, decreased apoptosis and upregulation of SERPIN family members.",Unknown - The effect of Oncostatin M on apoptosis is not well established.,"Statement: False - The context suggests Oncostatin M decreases, not reduces, apoptosis."
Nitro aspirin,apoptosis,pos,direct,31446057,Nitro aspirin  induces apoptosis in PC3 metastatic prostate cancer cells via hydrogen peroxide -mediated oxidative stress.,Unknown - The effect of Nitro aspirin on apoptosis is not well established.,Statement: True - The statement matches the context given.
naringin,apoptosis,pos,direct,30021366,Flow cytometry indicated that naringin could block the cell cycle and promote apoptosis.,True - Naringin can promote apoptosis.,Statement: naringin promotes apoptosis. (True - Context indicates that naringin promotes apoptosis.)
Phosphatidylinositol,apoptosis,neg,direct,21986133,Phosphatidylinositol 3-kinase-C2Î² inhibits cisplatin-mediated apoptosis via the Akt pathway in oesophageal squamous cell carcinoma.,"False - Phosphatidylinositol can affect several cellular processes, but it's not typically described as reducing apoptosis directly.",Statement: True - The statement matches the context given.
Thrombin,apoptosis,neg,direct,18268094,"Thrombin, through PAR-1, inhibited apoptosis and caused proliferation, resulting in the outgrowth of VP coexpressing markers of activated endothelial cells and VSMCs, even in the presence of growth factors.",False - Thrombin generally promotes apoptosis.,"Statement: False - The context suggests Thrombin inhibits, not reduces, apoptosis."
bFGF,apoptosis,pos,direct,22370167,"bFGF promoted apoptosis of the myofibroblasts but not of the fibroblasts, even in the presence of two different inhibitors, either LY294002 or an Akt inhibitor.",False - Basic fibroblast growth factor (bFGF) generally inhibits apoptosis.,Statement: True - The statement matches the context given.
Simvastatin,apoptosis,pos,direct,27061579,Simvastatin induces osteoinduction by increasing osteoblast activity and differentiation and inhibiting their apoptosis.,True - Simvastatin can promote apoptosis.,Statement: Simvastatin promotes apoptosis. (True - Context confirms that Simvastatin induces apoptosis.)
Collagen,Apoptosis of Fibroblasts,neg,direct,32517518,Denatured Collagen Could Increase the Autophagy Level and Inhibit Apoptosis of Fibroblasts to Help Cell Survival and Influence Wound Healing.,True - Collagen can reduce apoptosis of fibroblasts.,Statement: Collagen reduces Apoptosis of Fibroblasts. (True - Context suggests that denatured collagen inhibits apoptosis of fibroblasts.)
collagen,apoptosis,neg,direct,32517518,Denatured collagen could increase autophagy and inhibit apoptosis of the fibroblasts to promote cell survival and influence wound healing.,True - Collagen can reduce apoptosis.,Statement: collagen reduces apoptosis. (True - Context confirms that denatured collagen inhibits apoptosis of fibroblasts.)
Thy-1,apoptosis,neg,direct,25739049,"Using fibroblasts from Thy-1 and wild-type mice, recombinant expression of Thy-1, and analysis of the interaction of fibroblasts with immobilized Thy-1, we showed that Thy-1 has a crucial role in the control of cell growth by suppressing proliferation and promoting apoptosis and differentiation of dermal fibroblasts.",True - Thy-1 can reduce apoptosis.,Statement: Thy-1 reduces apoptosis. (False - Context suggests that Thy-1 promotes apoptosis and suppresses proliferation of dermal fibroblasts.)
Curzerene,apoptosis,pos,direct,30543916,"Curzerene showed the more significant activity against melanoma cells , induced apoptosis at 5.0â¯Î¼M and 10.0â¯Î¼M compared to DMSO, exhibiting a decrease in the cell migration at 5.0â¯Î¼M and 10.0â¯Î¼M, after 30â¯h of treatment.",Unknown - The effect of Curzerene on apoptosis is not well established.,Statement: True - The statement matches the context given.
FAK expression,apoptosis,neg,inferred,25790781,The apoptosis of cells was increased significantly following the FAK expression inhibition.,True - FAK expression can reduce apoptosis.,Statement: FAK expression reduces apoptosis. (False - Context reveals that inhibition of FAK expression increases cell apoptosis.)
Taxifolin,apoptosis,pos,direct,31128046,"Taxifolin inhibits the scar cell carcinoma growth by inducing apoptosis, cell cycle arrest and suppression of PI3K/AKT/mTOR pathway.",True - Taxifolin can promote apoptosis.,Statement: Taxifolin promotes apoptosis. (True - Context suggests that Taxifolin induces apoptosis.)
PHA665752,apoptosis,pos,direct,17132227,"In contrast, PHA665752 induced apoptosis and reduced motility and invasion in only one EA cell line, Flo-1.",True - PHA665752 can promote apoptosis.,"Statement: PHA665752 promotes apoptosis. (True - Context confirms that PHA665752 induces apoptosis in one EA cell line, Flo-1.)"
Chronic nerve growth factor exposure,apoptosis,pos,direct,23071784,Chronic nerve growth factor exposure increases apoptosis in a model of in vitro induced conjunctival myofibroblasts.,True - Chronic nerve growth factor exposure can promote apoptosis.,Statement: Chronic nerve growth factor exposure promotes apoptosis. (True - Context indicates that chronic nerve growth factor exposure increases apoptosis.)
NGF exposures,apoptosis,pos,direct,23071784,"Acute and chronic NGF exposures induced apoptosis in p75 expressing myoFB, an effect counteracted by the specific trkA and/or p75 inhibitors.",True - NGF exposures can promote apoptosis.,Statement: NGF exposures promotes apoptosis. (True - Context confirms that both acute and chronic NGF exposures can induce apoptosis in certain cells.)
Staurosporine,myofibroblast apoptosis,pos,direct,12445185,Staurosporine induced myofibroblast apoptosis in a time- and dose-dependent manner with typical morphologic changes.,True - Staurosporine can promote myofibroblast apoptosis.,Statement: Staurosporine promotes myofibroblast apoptosis. (True - The context indicates that Staurosporine can induce myofibroblast apoptosis in a time- and dose-dependent manner.)
bleomycin,myofibroblast apoptosis,pos,direct,12445185,"In addition, bleomycin  and cisplatin  also induced myofibroblast apoptosis by activating caspase-3, suggesting that these agents have a potential therapeutic value for abnormal scar formation.",True - Bleomycin can promote myofibroblast apoptosis.,Statement: bleomycin promotes myofibroblast apoptosis. (True - The context suggests that bleomycin can induce myofibroblast apoptosis.)
Estrogen,apoptosis,neg,direct,15795118,Estrogen and progesterone stimulate proliferation of keratinocytes while estrogen suppresses apoptosis and thus prevents epidermal atrophy.,True - Estrogen can reduce apoptosis.,Statement: Estrogen reduces apoptosis. (True - Context confirms that estrogen suppresses apoptosis.)
p53,apoptosis,pos,inferred,31411213,TF-TQ-Np-mediated p53 up-regulation favored the potential simultaneous activation of miR-34a and miR-16 targeting Bcl2 to induce apoptosis in the A549 cells.,True - p53 can promote apoptosis.,Statement: p53 promotes apoptosis. (True - The context indicates that up-regulation of p53 can favor the induction of apoptosis.)
C188-9,apoptosis,pos,direct,30870229,"C188-9 significantly inhibits cell growth, arrests cell cycle at G0/G1 phase, and induces apoptosis in HNSCC.",True - C188-9 can promote apoptosis.,Statement: C188-9 promotes apoptosis. (True - The context confirms that C188-9 can induce apoptosis in certain cells.)
Resveratrol,Apoptosis,pos,direct,25721869,Resveratrol Inhibits Proliferation and Induces Apoptosis of Pathological Scar Fibroblasts Through the Mechanism Involving TGF-Î²1/Smads Signaling Pathway.,True - Resveratrol can promote apoptosis.,Statement: Resveratrol promotes Apoptosis. (True - Context indicates that Resveratrol inhibits proliferation and induces apoptosis.)
siDAB2,apoptosis,neg,direct,32025216,"In addition, miR-BART1-3p as well as siDAB2 increased migration and decreased apoptosis.",Unknown - The effect of siDAB2 on apoptosis is not well established.,"Statement: False - The context suggests siDAB2 decreases, not reduces, apoptosis."
erythropoietin,apoptosis,neg,direct,23941990,"Studies have shown that erythropoietin, a glycoprotein hormone that promotes red blood cell proliferation and inhibits apoptosis of erythroid progenitors, may also exert a cytoprotective, antiapoptotic effect on nonhematopoietic cells.",True - Erythropoietin can reduce apoptosis.,"Statement: erythropoietin reduces apoptosis. (True - The context indicates that erythropoietin inhibits apoptosis of erythroid progenitors and may also exert a cytoprotective, antiapoptotic effect on nonhematopoietic cells.)"
Tacrolimus,apoptosis,pos,direct,29863234,Tacrolimus inhibits proliferation and induces apoptosis by decreasing survivin in scar fibroblasts after glaucoma surgery.,True - Tacrolimus can promote apoptosis.,Statement: Tacrolimus promotes apoptosis. (True - The context indicates that Tacrolimus inhibits proliferation and induces apoptosis in certain cells.)
Tacrolimus,apoptosis,pos,direct,29863234,"CONCLUSIONS: Tacrolimus reduces proliferation and promotes apoptosis of HTFs by inhibiting the expression of survivin, which may be a strategy for treating hypertrophic scar after glaucoma surgery.",True - Tacrolimus can promote apoptosis.,Statement: Tacrolimus promotes apoptosis. (True - The context confirms that Tacrolimus promotes apoptosis by inhibiting the expression of survivin.)
application of erythropoietin,apoptosis,neg,direct,28546424,"We have previously reported that the topical application of erythropoietin  to cutaneous wounds in rats and mice with experimentally induced diabetes accelerates their healing by stimulating angiogenesis, reepithelialization, and collagen deposition, and by suppressing the inflammatory response and apoptosis.",True - Application of erythropoietin can reduce apoptosis.,Statement: application of erythropoietin reduces apoptosis. (True - The context indicates that topical application of erythropoietin accelerates wound healing by suppressing apoptosis.)
Shikonin,Apoptosis,pos,direct,29642242,Shikonin Prevents Early Phase Inflammation Associated with Azoxymethane/Dextran Sulfate Sodium-Induced Colon Cancer and Induces Apoptosis in Human Colon Cancer Cells.,True - Shikonin can promote apoptosis.,Statement: Shikonin promotes Apoptosis. (True - The context reveals that Shikonin induces apoptosis in human colon cancer cells.)
Peimine,apoptosis,pos,direct,31081133,Peimine inhibits the growth and motility of prostate cancer cells and induces apoptosis by disruption of intracellular calcium homeostasis through Ca2+ /CaMKII/JNK pathway.,Unknown - The effect of Peimine on apoptosis is not well established.,Statement: True - The statement matches the context given.
PM,apoptosis,pos,direct,31081133,"In conclusion, our results show that PM inhibits the growth and motility of prostate cancer cells and induces apoptosis by disruption of intracellular calcium homeostasis through Ca2+ /CaMKII/JNK pathway.",False - PM (Particulate Matter) exposure can promote apoptosis.,Statement: True - The statement matches the context given.
Resveratrol,apoptosis,pos,direct,23815229,Resveratrol inhibits fibrogenesis and induces apoptosis in keloid fibroblasts.,True - Resveratrol can promote apoptosis.,Statement: Resveratrol promotes apoptosis. (True - Context confirms that Resveratrol inhibits fibrogenesis and induces apoptosis in keloid fibroblasts.)
HIF-1alpha,apoptosis,pos,direct,16736613,"Associated with p53, HIF-1alpha may induce apoptosis, which decreases oxygen consumption and lightens hypoxia in the scar maturation.",False - HIF-1alpha generally inhibits apoptosis.,Statement: True - The statement matches the context given.
CHPF,cell apoptosis of HCC,neg,inferred,32383983,"Further studies revealed that CHPF knockdown significantly inhibited cell proliferation and colony formation, and induce cell apoptosis of HCC cells.",Unknown - The effect of CHPF on HCC cell apoptosis is not well established.,"Statement: True - Considering ""induce"" as ""promote"", the statement matches the context given."
expression of LOX,apoptosis,pos,direct,23970168,Increased expression of LOX inhibited the proliferation and migration of human osteosarcoma cells and promoted its apoptosis.,True - Expression of LOX can promote apoptosis.,Statement: expression of LOX promotes apoptosis. (True - The context confirms that increased expression of LOX promotes apoptosis in human osteosarcoma cells.)
SNS-032,apoptosis,pos,direct,34741018,"In addition, SNS-032 induced a mitochondrial-dependent apoptosis of ESCC cells by reducing Mcl-1 transcription.",True - SNS-032 can promote apoptosis.,Statement: SNS-032 promotes apoptosis. (True - The context indicates that SNS-032 induces a mitochondrial-dependent apoptosis of ESCC cells.)
IL-9,IFN-Î³-induced pleural mesothelial cell apoptosis,neg,direct,22363712,IL-9 promoted the pleural mesothelial cell repairing and inhibited IFN-Î³-induced pleural mesothelial cell apoptosis.,Unknown - The effect of IL-9 on IFN-γ-induced pleural mesothelial cell apoptosis is not well established.,Statement: True - The statement matches the context given.
trehalose,cell apoptosis,neg,direct,30623968,"In dry eye disease, trehalose decreased cell apoptosis and reduced oxidative, inflammatory and proteolytic activity at the ocular surface.",True - Trehalose can reduce cell apoptosis.,Statement: trehalose reduces cell apoptosis. (True - The context indicates that trehalose can decrease cell apoptosis in dry eye disease.)
LF,HAC apoptosis,neg,direct,26279447,LF significantly inhibited IL-1Î²-induced HAC apoptosis.,Unknown - The effect of LF on HAC apoptosis is not well established.,Statement: True - The context implies LF inhibits HAC apoptosis.
methyl sulfone,apoptosis,pos,direct,23816666,"RESULTS: We found that 200 mM methyl sulfone did not induce apoptosis in cancerous cells but instead decreased cell proliferation and DNA synthesis, inhibited migration of cells through an extracellular matrix and induced contact inhibition and anchorage-dependent growth.",True - Methyl sulfone can promote apoptosis.,"Statement: methyl sulfone promotes apoptosis. (False - The context indicates that methyl sulfone does not induce apoptosis, but rather decreases cell proliferation and DNA synthesis.)"
CX4945,apoptosis,pos,direct,28873435,"At the same concentrations, CX4945 also induced apoptosis  which correlated with the expression level of CK2 in the different CCA cell lines .",True - CX4945 can promote apoptosis.,Statement: CX4945 promotes apoptosis. (True - Context indicates that CX4945 induces apoptosis.)
H19,apoptosis,neg,direct,31020694,"On the basis of the above experiments, we concluded that H19 is related to the drug resistance of CC, and the knockout of H19 can reduce the drug resistance of resistant CC cells; and decrease the proliferative, migratory, and invasive ability; and increase the apoptosis.",True - H19 can reduce apoptosis.,Statement: H19 reduces apoptosis. (True - The context indicates that knockout of H19 can increase apoptosis.)
EHD2,apoptosis,neg,inferred,30995867,"EHD2 overexpression enhanced the proliferation, invasion, and migration but inhibited the apoptosis of ccRCC cells, while EHD2 interference showed opposite functions.",True - EHD2 can reduce apoptosis.,Statement: EHD2 reduces apoptosis. (True - The context reveals that overexpression of EHD2 inhibits apoptosis of ccRCC cells.)
Basic fibroblast growth factor,apoptosis,pos,direct,17537125,"Basic fibroblast growth factor in an artificial dermis promotes apoptosis and inhibits expression of alpha-smooth muscle actin, leading to reduction of wound contraction.",False - Basic fibroblast growth factor generally inhibits apoptosis.,Statement: True - The context states basic fibroblast growth factor promotes apoptosis.
bFGF administration,apoptosis,pos,direct,17537125,"These results suggest that bFGF administration to an artificial dermis promotes apoptosis of alpha-SMA-positive fibroblastic cells and inhibits alpha-SMA expression in the treated wound, thus reducing wound contraction.",False - bFGF administration generally inhibits apoptosis.,Statement: True - bFGF administration promotes apoptosis according to the context.
bFGF group,apoptosis,pos,direct,17537125,"Double staining revealed that apoptosis in alpha-SMA-positive fibroblastic cells was significantly increased in the bFGF group, suggesting that bFGF treatment is a potent stimulator of myofibroblast apoptosis.",False - bFGF group generally inhibits apoptosis.,Statement: True - The context indicates bFGF group promotes apoptosis.
NRF2,apoptosis,neg,direct,26718502,"In vitro experiments in human immortalized keratinocyte cells confirm that NRF2 contributes to wound healing by alleviating oxidative stress, increasing proliferation and migration, decreasing apoptosis, and increasing the expression of TGF-Î²1 and lowering MMP9 under high-glucose conditions.",True - NRF2 can reduce apoptosis.,Statement: NRF2 reduces apoptosis. (True - The context confirms that NRF2 contributes to wound healing by decreasing apoptosis.)
Mitomycin C,fibroblasts apoptosis,pos,direct,26254780,"Mitomycin C induces fibroblasts apoptosis and reduces epidural fibrosis by regulating miR-200b and its targeting of RhoE. Mitomycin C  is known to reduce epidural fibrosis, but the underlying mechanisms have not yet been elucidated.",True - Mitomycin C can promote fibroblasts apoptosis.,Statement: Mitomycin C promotes fibroblasts apoptosis. (True - The context indicates that Mitomycin C induces fibroblasts apoptosis.)
MMC,fibroblasts apoptosis,pos,direct,26254780,This study suggests that MMC induces fibroblasts apoptosis and reduces epidural fibrosis by regulating miR-200b expression and its targeting of RhoE.,True - MMC can promote fibroblasts apoptosis.,Statement: MMC promotes fibroblasts apoptosis. (True - The context confirms that MMC induces fibroblasts apoptosis.)
MMC,fibroblasts apoptosis,pos,direct,26254780,The study revealed that MMC could significantly downregulate miR-200b expression and induce human fibroblasts apoptosis.,True - MMC can promote fibroblasts apoptosis.,Statement: MMC promotes fibroblasts apoptosis. (True - The context confirms that MMC induces human fibroblasts apoptosis.)
Silymarin,apoptosis,pos,direct,22016029,Silymarin induced apoptosis through the modulation of Bcl-2 family proteins and activation of caspase 3.,True - Silymarin can promote apoptosis.,Statement: Silymarin promotes apoptosis. (True - The context confirms that Silymarin induces apoptosis.)
Hepatitis B Virus X Protein,Apoptosis,neg,direct,28282856,"Hepatitis B Virus X Protein Stimulates Proliferation, Wound Closure and Inhibits Apoptosis of HuH-7 Cells via CDC42.",True - Hepatitis B Virus X Protein can reduce Apoptosis.,Statement: Hepatitis B Virus X Protein reduces Apoptosis. (True - The context indicates that Hepatitis B Virus X Protein inhibits apoptosis.)
CCN1,apoptosis,pos,direct,21805345,"Accordingly, CCN1 promotes cell proliferation, survival and angiogenesis by binding to integrin Î±Î², and induces apoptosis and senescence through integrin Î±Î² and heparan sulfate proteoglycans.",True - CCN1 can promote apoptosis.,Statement: CCN1 promotes apoptosis. (True - The context indicates that CCN1 can induce apoptosis.)
Snhg3,cell apoptosis,pos,inferred,31610210,Downregulation of Snhg3 by siRNA transfection improved cell proliferation and migration abilities and reduced cell apoptosis and monolayer permeability in BMVECs under treatment with OGD plus hemin.,Unknown - The effect of Snhg3 on cell apoptosis is not well established.,Statement: False - The context indicates downregulation of Snhg3 reduces cell apoptosis.
Snhg3,cell apoptosis,pos,inferred,31610210,Snhg3 overexpression suppressed cell proliferation and migration and increased cell apoptosis and monolayer permeability under normal condition.,Unknown - The effect of Snhg3 on cell apoptosis is not well established.,Statement: True - The context says Snhg3 overexpression promotes cell apoptosis.
germacrone,apoptosis,pos,direct,32071920,Flow cytometry analysis  and wound healing experiments on germacrone treated ESCC cells showed that germacrone could induce apoptosis and inhibit the migration of ESCC cells in a dose-dependent manner.,True - Germacrone can promote apoptosis.,Statement: germacrone promotes apoptosis. (True - The context indicates that germacrone can induce apoptosis and inhibit the migration of ESCC cells.)
Germacrone,Apoptosis,pos,direct,32071920,Germacrone Inhibits Cell Proliferation and Induces Apoptosis in Human Esophageal Squamous Cell Carcinoma Cells.,True - Germacrone can promote apoptosis.,Statement: Germacrone promotes Apoptosis. (True - The context confirms that Germacrone inhibits cell proliferation and induces apoptosis.)
Graphene oxide,apoptosis,neg,direct,36269304,Graphene oxide accelerates diabetic wound repair by inhibiting apoptosis of Ad-MSCs via Linc00324/miR-7977/STK4 pathway.,False - Graphene oxide can promote apoptosis.,Statement: False - The context states graphene oxide inhibits apoptosis.
IL-1Î² treatment,cell apoptosis,pos,direct,34118146,"RESULTS: The IL-1Î² treatment significantly decreased the viability of RBMECs and TGF-Î²1, but promoted cell apoptosis and TNF-Î± expression.",True - IL-1β treatment can promote cell apoptosis.,Statement: IL-1Î² treatment promotes cell apoptosis. (True - The context indicates that IL-1Î² treatment promotes cell apoptosis.)
VEGFA,apoptosis,pos,inferred,34118146,"Moreover, VEGFA suppression by TNF-Î± increased cell viability and ERK1/2 protein levels, and suppressed the apoptosis of RBMECs through its upregulation.",False - VEGFA generally inhibits apoptosis.,Statement: False - The context suggests VEGFA suppression reduces apoptosis.
lovastatin,apoptosis,pos,direct,9872842,"Studies in our laboratory have demonstrated that lovastatin potently induces apoptosis in fibroblasts constitutively expressing Myc, and that lung fibroblasts isolated from fibrotic lesions constitutively express growth-promoting genes.",True - Lovastatin can promote apoptosis.,Statement: lovastatin promotes apoptosis. (True - The context indicates that lovastatin can induce apoptosis in fibroblasts.)
GIT1 gene deletion,apoptosis of chondrocyte,pos,inferred,28754105,GIT1 gene deletion delays chondrocyte differentiation and healing of tibial plateau fracture through suppressing proliferation and apoptosis of chondrocyte.,Unknown - The effect of GIT1 gene deletion on apoptosis of chondrocyte is not well established.,Statement: False - The context implies GIT1 gene deletion inhibits apoptosis of chondrocyte.
DHA,apoptosis,pos,direct,30529802,"Here, we showed that DHA could repress the migration and invasion of GBM U251 cells and promote their apoptosis in a dose- and time-dependent manner, indicating that DHA has an anticancer effect on GBM cells.",True - DHA can promote apoptosis.,Statement: DHA promotes apoptosis. (True - The context indicates that DHA promotes apoptosis in GBM U251 cells.)
hydrogel,cell apoptosis,neg,direct,33169516,"Addition of biocompatible and applicable catalase in vivo enables the further transition of H2 O2 , a major type of ROS, to O2 and H2 O. Results of rat MI model demonstrate that this hydrogel can significantly remove excessive ROS, inhibit cell apoptosis, increase M2/M1 macrophage ratio, promote angiogenesis, reduce infarcted area, and improve cardiac functions.",True - Hydrogel can reduce cell apoptosis.,"Statement: hydrogel reduces cell apoptosis. (True - The context indicates that the hydrogel can significantly remove excessive ROS, inhibiting cell apoptosis.)"
TAF1L,autophagy-dependent apoptosis,neg,direct,32174793,TAF1L promotes development of oral squamous cell carcinoma via decreasing autophagy-dependent apoptosis.,True - TAF1L can reduce autophagy-dependent apoptosis.,Statement: TAF1L reduces autophagy-dependent apoptosis. (True - The context indicates that TAF1L decreases autophagy-dependent apoptosis.)
entrectinib,apoptosis,pos,direct,26735175,"In aggregate, our data show that entrectinib inhibits proliferation, and induces G1-arrest, and apoptosis in NB cells.",True - Entrectinib can promote apoptosis.,Statement: entrectinib promotes apoptosis. (True - The context indicates that entrectinib induces apoptosis in NB cells.)
Thymosin,apoptosis,pos,direct,31649007,"Thymosin Î²4 acts by increasing keratinocyte/epithelial cell migration, angiogenesis, and cell survival, and by decreasing inflammation, apoptosis, and scarring.",False - Thymosin generally inhibits apoptosis.,Statement: False - The context states thymosin reduces apoptosis.
miR-203a,apoptosis,neg,inferred,25123268,"Silencing of miR-203a could inhibit cell proliferation and migration, arrest them in G1 phase, and promote apoptosis in vitro.",Unknown - The role of miR-203a in apoptosis is not well established.,Statement: False - The context implies miR-203a promotes apoptosis.
insulin,apoptosis of neutrophils,pos,direct,32878940,Our study revealed that insulin promoted apoptosis of neutrophils and subsequently triggered polarization of macrophages.,False - Insulin generally reduces apoptosis of neutrophils.,Statement: True - The context states insulin promotes apoptosis of neutrophils.
expression of SLIT2,apoptosis,pos,direct,21627385,"Moreover, reversed expression of SLIT2 suppressed cell growth, migration, colony formation abilities and induced more apoptosis.",Unknown - The effect of expression of SLIT2 on apoptosis is not well established.,Statement: True - The context suggests SLIT2 expression promotes apoptosis.
HS-111,apoptosis,pos,direct,22553069,"These results showed that HS-111 not only inhibited cell growth and angiogenesis, but also induced apoptosis of human HCC cells.",Unknown - The effect of HS-111 on apoptosis is not well established.,Statement: True - The context suggests HS-111 promotes apoptosis.
serotonin,apoptosis,neg,direct,29596386,Results from in vitro analysis revealed that serotonin decreased apoptosis and increased cell survival significantly in human fibroblasts and neonatal keratinocytes.,True - Serotonin can reduce apoptosis.,Statement: serotonin reduces apoptosis. (True - The context indicates that serotonin decreases apoptosis in certain cells.)
monensin,apoptosis,pos,direct,26639992,"We demonstrate that monensin effectively inhibits cell proliferation, migration and cell cycle progression, and induces apoptosis of human ovarian cancer cells.",True - Monensin can promote apoptosis.,Statement: monensin promotes apoptosis. (True - The context indicates that monensin induces apoptosis in human ovarian cancer cells.)
exosomal KLF3-AS1,apoptosis,neg,direct,34742784,"RESULTS: BMSC-derived exosomal KLF3-AS1 sufficiently promoted proliferation, migration, and tube formation, while inhibited apoptosis of HUVECs challenged by high glucose.",Unknown - The effect of exosomal KLF3-AS1 on apoptosis is not well established.,Statement: False - The context suggests exosomal KLF3-AS1 inhibits apoptosis.
corticosteroids,apoptosis,pos,direct,11521988,Both corticosteroids induced apoptosis of intestinal epithelial cells in a dose-dependent fashion.,True - Corticosteroids can promote apoptosis.,Statement: corticosteroids promotes apoptosis. (True - The context indicates that corticosteroids can induce apoptosis of intestinal epithelial cells.)
MTX,cell apoptosis,pos,direct,28012973,"CCK-8 assay, Western blot  and annexin V-FITC/PI double-labelling showed that MTX could induce cell apoptosis.",True - MTX can promote cell apoptosis.,Statement: MTX promotes cell apoptosis. (True - The context indicates that MTX can induce cell apoptosis.)
application of MTX,apoptosis,pos,direct,28012973,"Our findings indicate that topical application of MTX could indeed reduce EF, and the application of MTX could induce apoptosis through ER stress in rats.",True - Application of MTX can promote apoptosis.,Statement: application of MTX promotes apoptosis. (True - The context indicates that topical application of MTX can induce apoptosis.)
GADD34 mice,cell apoptosis,neg,direct,25210702,"In addition, GADD34 mice showed increased number of myofibroblasts, elevated collagen production, and decreased cell apoptosis during wound healing.",False - GADD34 generally promotes apoptosis.,Statement: False - The context suggests GADD34 mice increase apoptosis.
